Market Name,Year,Count
Power Grid,2006,2
Solar,2006,12
Cloud Management,2006,3
EdTech,2006,3
Charter Schools,2006,1
Education,2006,13
Local,2006,9
Small and Medium Businesses,2006,2
Email Marketing,2006,4
Digital Entertainment,2006,3
News,2006,18
Digital Marketing,2006,2
Content Marketing,2006,2
Content Discovery,2006,1
Cloud Data Services,2006,7
Video Editing,2006,1
Photography,2006,4
Presentations,2006,2
Auctions,2006,2
Social CRM,2006,1
Personalization,2006,5
Online Portals,2006,5
Business Development,2006,1
E-Learning,2006,5
Jewelry,2006,1
PaaS,2006,4
Facebook,2006,1
Dating,2006,1
Semantic Web,2006,1
Retail,2006,9
Industrial,2006,3
Environmental Engineering,2006,2
Parenting,2006,1
Film,2006,1
Identity Management,2006,4
Training,2006,4
Children,2006,1
Wine And Spirits,2006,1
Trading Platform,2006,1
Broadcasting,2006,3
Communities,2006,5
Service Industry,2006,5
Product Design,2006,3
Mobile Devices,2006,5
Printing,2006,1
Art,2006,3
Consumer Electronics,2006,8
Genetics,2006,8
Water,2006,2
Android,2006,4
VoIP,2006,3
Customer Service,2006,5
Cloud Security,2006,2
Sales,2006,2
Cosmetics,2006,2
Sustainability,2006,2
Beauty,2006,3
Personal Finance,2006,2
Wearables,2006,2
mHealth,2006,1
Event Management,2006,2
Mobile Payments,2006,2
Venture Capital,2006,1
Real Estate,2006,7
Delivery,2006,1
Hospitality,2006,2
Internet of Things,2006,6
Infrastructure,2006,4
Professional Networking,2006,1
IT Management,2006,2
Smart Home,2006,2
Recruiting,2006,3
Energy Storage,2006,3
Innovation Management,2006,3
Data Storage,2006,3
MMO Games,2006,3
Casual Games,2006,4
Travel,2006,3
Tourism,2006,2
Leisure,2006,1
Public Relations,2006,1
Lending,2006,1
Employment,2006,1
Recycling,2006,1
Retail Technology,2006,2
Wireless,2006,12
Semantic Search,2006,3
Document Management,2006,2
Subscription Service,2006,1
Electric Vehicle,2006,2
Energy Efficiency,2006,3
GreenTech,2006,3
iOS,2006,4
SMS,2006,5
Developer APIs,2006,3
Construction,2006,2
Building Material,2006,1
Building Maintenance,2006,1
Wellness,2006,2
Nightlife,2006,1
Concerts,2006,1
Religion,2006,1
Browser Extensions,2006,2
Water Purification,2006,2
Web Apps,2006,1
Technical Support,2006,1
Call Center,2006,1
Language Learning,2006,1
Non Profit,2006,3
Restaurants,2006,2
Loyalty Programs,2006,1
Local Advertising,2006,1
Ad Targeting,2006,2
Ticketing,2006,1
Association,2006,1
Industrial Manufacturing,2006,1
PC Games,2006,1
Procurement,2006,1
Cloud Infrastructure,2006,3
Content Syndication,2006,1
Farming,2006,1
Agriculture,2006,1
Risk Management,2006,1
Media and Entertainment,2006,3
Fashion,2006,5
Ad Server,2006,1
Project Management,2006,4
Crowdsourcing,2006,2
Semiconductor,2006,9
Smart Building,2006,2
E-Commerce Platforms,2006,3
Natural Language Processing,2006,2
Clean Energy,2006,4
Embedded Software,2006,1
Virtual Desktop,2006,2
Flash Storage,2006,3
Compliance,2006,1
Food Delivery,2006,1
TV Production,2006,1
Stock Exchanges,2006,1
Communication Hardware,2006,1
Comics,2006,1
EBooks,2006,2
Neuroscience,2006,3
Cooking,2006,1
Food and Beverage,2006,1
ISP,2006,1
Credit,2006,1
Consumer Lending,2006,1
Optical Communication,2006,1
Government,2006,2
Battery,2006,1
Embedded Systems,2006,1
Sensor,2006,2
Gift Card,2006,2
Reading Apps,2006,1
ERP,2006,2
Text Analytics,2006,1
Universities,2006,1
Home Decor,2006,1
Virtual Goods,2006,2
Crowdfunding,2006,1
Commercial Real Estate,2006,3
Lifestyle,2006,2
TV,2006,2
GovTech,2006,1
EDA,2006,1
Gift Exchange,2006,1
Pet,2006,2
Celebrity,2006,1
Journalism,2006,1
Audio,2006,2
Women's,2006,1
Internet Radio,2006,1
Financial Exchanges,2006,1
Network Hardware,2006,1
Enterprise,2006,1
Fuel,2006,1
Geospatial,2006,1
Parking,2006,1
Consumer Reviews,2006,1
Humanitarian,2006,1
Vertical Search,2006,1
Real Estate Investment,2006,1
Wind Energy,2006,1
Employee Benefits,2006,1
Health Insurance,2006,1
Residential,2006,1
Casino,2006,1
Fantasy Sports,2006,1
Career Planning,2006,1
Task Management,2006,1
Cosmetic Surgery,2006,1
Q&A,2006,1
Private Cloud,2006,1
Automotive,2011,18
Fleet Management,2011,4
Software,2011,277
Search Engine,2011,43
Big Data,2011,86
Education,2011,85
Information Technology,2011,89
Apps,2011,93
EdTech,2011,35
Agriculture,2011,11
Medical,2011,51
Hospitality,2011,33
Social Media,2011,157
Analytics,2011,124
Enterprise Software,2011,193
Lifestyle,2011,19
Fashion,2011,41
E-Commerce,2011,173
Health Diagnostics,2011,21
Biotechnology,2011,102
Mobile Apps,2011,33
SaaS,2011,138
Communities,2011,14
GreenTech,2011,4
Energy,2011,22
Internet of Things,2011,27
Infrastructure,2011,12
Smart Building,2011,2
Wellness,2011,15
Hardware,2011,39
Fitness,2011,20
Health Care,2011,171
Manufacturing,2011,26
Mobile,2011,318
Web Development,2011,28
iOS,2011,56
Android,2011,34
Life Science,2011,6
Legal,2011,10
Construction,2011,7
Document Management,2011,5
QR Codes,2011,1
Loyalty Programs,2011,13
Food and Beverage,2011,13
Brewing,2011,1
Publishing,2011,26
Browser Extensions,2011,3
Wireless,2011,14
Medical Device,2011,29
Digital Media,2011,34
Food Processing,2011,5
Service Industry,2011,14
Dental,2011,2
Real Time,2011,24
Sports,2011,32
Finance,2011,74
Events,2011,36
Small and Medium Businesses,2011,15
Financial Services,2011,23
Internet,2011,105
Advertising,2011,86
B2B,2011,25
Social Network,2011,22
Social Media Marketing,2011,25
Restaurants,2011,24
Biopharma,2011,10
Grocery,2011,2
Brand Marketing,2011,23
Human Resources,2011,20
Employment,2011,7
Consulting,2011,15
Retail,2011,41
Video,2011,49
Computer,2011,14
Security,2011,46
Business Intelligence,2011,27
Transportation,2011,13
Public Transportation,2011,2
Navigation,2011,4
Risk Management,2011,9
Compliance,2011,4
Local,2011,20
mHealth,2011,12
Open Source,2011,17
Pharmaceutical,2011,29
Gamification,2011,12
Clinical Trials,2011,2
Therapeutics,2011,24
Electronics,2011,11
Semiconductor,2011,4
News,2011,18
Developer Platform,2011,11
Courier Service,2011,1
Data Visualization,2011,13
FinTech,2011,54
Cyber Security,2011,17
Professional Services,2011,5
Professional Networking,2011,2
Journalism,2011,1
Collaboration,2011,31
Freemium,2011,2
Location Based Services,2011,18
Price Comparison,2011,5
Architecture,2011,1
Training,2011,7
Developer Tools,2011,29
IaaS,2011,7
Test and Measurement,2011,9
Cloud Computing,2011,71
Project Management,2011,4
File Sharing,2011,10
Corporate Training,2011,5
E-Learning,2011,15
Network Security,2011,18
Cloud Security,2011,9
Farming,2011,3
Chemical,2011,1
Travel,2011,26
Telecommunications,2011,15
Electrical Distribution,2011,3
Energy Efficiency,2011,12
EBooks,2011,5
Wearables,2011,8
Photo Sharing,2011,10
Video Streaming,2011,11
National Security,2011,1
Consumer Electronics,2011,22
Enterprise,2011,2
Energy Management,2011,5
